Unnamed: 0,GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,Hours,whyplay,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Gender,Age,Work,Residence,Playstyle,GAD_T,SPIN_T,Residence_ISO3,Birthplace_ISO3
87,2,1,1,1,1,1,0,20.0,having fun,1.0,0.0,3.0,3.0,2.0,2.0,0.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,Female,21,Student at college / university,Canada,Multiplayer - online - with real life friends,7,30.0,CAN,CAN
88,0,0,0,1,0,1,1,45.0,having fun,0.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,Male,19,Student at college / university,USA,Multiplayer - online - with real life friends,3,30.0,USA,USA
89,2,1,1,1,0,2,1,11.0,having fun,1.0,1.0,2.0,2.0,2.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,3.0,Male,28,Employed,Canada,Singleplayer,8,30.0,CAN,CAN
90,1,0,1,1,1,1,0,12.0,having fun,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,Male,18,Student at college / university,UK,Multiplayer - online - with real life friends,5,11.0,GBR,GBR
91,1,0,1,2,1,2,1,25.0,improving,1.0,3.0,0.0,3.0,3.0,3.0,1.0,0.0,2.0,2.0,4.0,1.0,0.0,3.0,4.0,2.0,2.0,Male,24,Student at college / university,Canada,Multiplayer - online - with strangers,8,34.0,CAN,CAN
92,3,3,3,3,3,1,2,9.0,having fun,2.0,4.0,1.0,2.0,,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,Male,19,Student at college / university,USA,Multiplayer - online - with strangers,18,,USA,USA
93,1,0,1,1,1,0,0,6.0,relaxing,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,Male,22,Student at college / university,USA,Multiplayer - online - with real life friends,4,13.0,USA,USA
94,1,2,1,0,1,1,2,20.0,having fun,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,Male,19,Student at college / university,USA,Multiplayer - online - with real life friends,8,13.0,USA,USA
95,3,3,3,3,0,0,0,6.0,relaxing,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,Female,18,Student at school,USA,Singleplayer,12,11.0,USA,USA
96,1,1,0,1,0,2,1,20.0,relaxing,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,1.0,0.0,3.0,2.0,2.0,3.0,Female,22,Student at college / university,USA,Singleplayer,6,47.0,USA,USA
97,3,3,3,3,1,3,1,10.0,having fun,0.0,0.0,3.0,2.0,2.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0,0.0,2.0,Male,18,Student at college / university,USA,Singleplayer,17,31.0,USA,USA
99,1,0,1,1,0,2,0,8.0,winning,1.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,Male,20,Student at college / university,Germany,Multiplayer - online - with strangers,5,16.0,DEU,DEU
100,0,0,0,0,0,0,0,25.0,winning,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,,Male,18,Student at school,UK,Multiplayer - online - with strangers,0,,GBR,GBR
